	Curvature		Hubble Constant		Hubble Constant		Normal Matter	0.046			
	(fraction of critical)		(in km/s/Mpc)		(in 1/Gyr)		Dark Matter	0.254			
	0.00		71.28		0.074587738		Dark Energy	0.7			
											
											
Epoch	Scale Factor	da	H(z)	dt	Time		Time in Billions of Years	Average Distance Between Galaxies   Time Now	Vertical Line
1	0.01		40.85343419                     0.001	        -12.963	0.010		0.000	0.010
2	0.02	0.01	14.44398813	0.034616478	0.036		-12.928	0.020		0.000	0.020
3	0.03	0.01	7.86248556	0.042395414	0.078		-12.886	0.030		0.000	0.030
4	0.04	0.01	5.1070546	0.048951895	0.127		-12.837	0.040		0.000	0.040
5	0.05	0.01	3.654570817	0.054725988	0.182		-12.782	0.050		0.000	0.050
6	0.06	0.01	2.78042127	0.059942955	0.242		-12.722	0.060		0.000	0.060
7	0.07	0.01	2.206758071	0.064736205	0.306		-12.658	0.070		0.000	0.070
8	0.08	0.01	1.806559818	0.069192284	0.376		-12.589	0.080		0.000	0.080
9	0.09	0.01	1.514374725	0.073370949	0.449		-12.515	0.090		0.000	0.090
10	0.1	0.01	1.293403851	0.077315372	0.526		-12.438	0.100		0.000	0.100
11	0.11	0.01	1.121533828	0.081057823	0.607		-12.357	0.110		0.000	0.110
12	0.12	0.01	0.984759029	0.084623071	0.692		-12.272	0.120		0.000	0.120
13	0.13	0.01	0.873822776	0.088030524	0.780		-12.184	0.130		0.000	0.130
14	0.14	0.01	0.782387492	0.091295646	0.871		-12.093	0.140		0.000	0.140
15	0.15	0.01	0.705983435	0.094430922	0.966		-11.998	0.150		0.000	0.150
16	0.16	0.01	0.641377297	0.097446542	1.063		-11.901	0.160		0.000	0.160
17	0.17	0.01	0.586178418	0.100350896	1.163		-11.801	0.170		0.000	0.170
18	0.18	0.01	0.538585082	0.103150936	1.267		-11.697	0.180		0.000	0.180
19	0.19	0.01	0.497216397	0.10585246	1.372		-11.592	0.190		0.000	0.190
20	0.2	0.01	0.460998081	0.108460321	1.481		-11.483	0.200		0.000	0.200
21	0.21	0.01	0.429083166	0.110978597	1.592		-11.372	0.210		0.000	0.210
22	0.22	0.01	0.400795841	0.113410722	1.705		-11.259	0.220		0.000	0.220
23	0.23	0.01	0.375590986	0.115759596	1.821		-11.143	0.230		0.000	0.230
24	0.24	0.01	0.35302455	0.118027674	1.939		-11.025	0.240		0.000	0.240
25	0.25	0.01	0.332731543	0.120217036	2.059		-10.905	0.250		0.000	0.250
26	0.26	0.01	0.314409479	0.122329449	2.182		-10.782	0.260		0.000	0.260
27	0.27	0.01	0.297805767	0.12436642	2.306		-10.658	0.270		0.000	0.270
28	0.28	0.01	0.282708	0.126329236	2.432		-10.532	0.280		0.000	0.280
29	0.29	0.01	0.268936402	0.128219008	2.561		-10.404	0.290		0.000	0.290
30	0.3	0.01	0.256337895	0.130036698	2.691		-10.273	0.300		0.000	0.300
31	0.31	0.01	0.244781404	0.13178315	2.822		-10.142	0.310		0.000	0.310
32	0.32	0.01	0.234154104	0.133459117	2.956		-10.008	0.320		0.000	0.320
33	0.33	0.01	0.224358406	0.135065277	3.091		-9.873	0.330		0.000	0.330
34	0.34	0.01	0.215309503	0.13660226	3.228		-9.737	0.340		0.000	0.340
35	0.35	0.01	0.206933386	0.138070657	3.366		-9.599	0.350		0.000	0.350
36	0.36	0.01	0.199165199	0.139471042	3.505		-9.459	0.360		0.000	0.360
37	0.37	0.01	0.191947891	0.14080398	3.646		-9.318	0.370		0.000	0.370
38	0.38	0.01	0.185231094	0.142070043	3.788		-9.176	0.380		0.000	0.380
39	0.39	0.01	0.178970188	0.143269815	3.931		-9.033	0.390		0.000	0.390
40	0.4	0.01	0.173125515	0.144403903	4.076		-8.888	0.400		0.000	0.400
41	0.41	0.01	0.167661717	0.145472946	4.221		-8.743	0.410		0.000	0.410
42	0.42	0.01	0.162547179	0.146477619	4.368		-8.597	0.420		0.000	0.420
43	0.43	0.01	0.157753553	0.147418638	4.515		-8.449	0.430		0.000	0.430
44	0.44	0.01	0.153255353	0.148296763	4.663		-8.301	0.440		0.000	0.440
45	0.45	0.01	0.149029605	0.149112803	4.812		-8.152	0.450		0.000	0.450
46	0.46	0.01	0.145055554	0.149867619	4.962		-8.002	0.460		0.000	0.460
47	0.47	0.01	0.1413144	0.15056212	5.113		-7.851	0.470		0.000	0.470
48	0.48	0.01	0.137789084	0.15119727	5.264		-7.700	0.480		0.000	0.480
49	0.49	0.01	0.134464086	0.151774082	5.416		-7.548	0.490		0.000	0.490
50	0.5	0.01	0.131325264	0.152293621	5.568		-7.396	0.500		0.000	0.500
51	0.51	0.01	0.128359702	0.152757001	5.721		-7.243	0.510		0.000	0.510
52	0.52	0.01	0.125555586	0.153165382	5.874		-7.090	0.520		0.000	0.520
53	0.53	0.01	0.122902086	0.15351997	6.028		-6.937	0.530		0.000	0.530
54	0.54	0.01	0.120389262	0.153822012	6.181		-6.783	0.540		0.000	0.540
55	0.55	0.01	0.118007973	0.154072794	6.335		-6.629	0.550		0.000	0.550
56	0.56	0.01	0.115749802	0.154273636	6.490		-6.474	0.560		0.000	0.560
57	0.57	0.01	0.113606984	0.154425891	6.644		-6.320	0.570		0.000	0.570
58	0.58	0.01	0.111572347	0.154530937	6.799		-6.165	0.580		0.000	0.580
59	0.59	0.01	0.109639258	0.154590179	6.953		-6.011	0.590		0.000	0.590
60	0.6	0.01	0.107801575	0.154605039	7.108		-5.856	0.600		0.000	0.600
61	0.61	0.01	0.106053601	0.154576954	7.262		-5.702	0.610		0.000	0.610
62	0.62	0.01	0.104390047	0.154507376	7.417		-5.547	0.620		0.000	0.620
63	0.63	0.01	0.102805999	0.15439776	7.571		-5.393	0.630		0.000	0.630
64	0.64	0.01	0.101296881	0.154249567	7.726		-5.239	0.640		0.000	0.640
65	0.65	0.01	0.099858434	0.154064257	7.880		-5.084	0.650		0.000	0.650
66	0.66	0.01	0.098486683	0.153843288	8.033		-4.931	0.660		0.000	0.660
67	0.67	0.01	0.097177922	0.153588107	8.187		-4.777	0.670		0.000	0.670
68	0.68	0.01	0.095928686	0.153300154	8.340		-4.624	0.680		0.000	0.680
69	0.69	0.01	0.094735735	0.152980854	8.493		-4.471	0.690		0.000	0.690
70	0.7	0.01	0.093596038	0.152631614	8.646		-4.318	0.700		0.000	0.700
71	0.71	0.01	0.092506755	0.152253823	8.798		-4.166	0.710		0.000	0.710
72	0.72	0.01	0.091465223	0.151848849	8.950		-4.014	0.720		0.000	0.720
73	0.73	0.01	0.090468947	0.151418035	9.102		-3.863	0.730		0.000	0.730
74	0.74	0.01	0.08951558	0.150962698	9.252		-3.712	0.740		0.000	0.740
75	0.75	0.01	0.088602921	0.150484128	9.403		-3.561	0.750		0.000	0.750
76	0.76	0.01	0.087728899	0.149983584	9.553		-3.411	0.760		0.000	0.760
77	0.77	0.01	0.086891566	0.149462296	9.702		-3.262	0.770		0.000	0.770
78	0.78	0.01	0.086089088	0.148921462	9.851		-3.113	0.780		0.000	0.780
79	0.79	0.01	0.085319737	0.148362246	10.000		-2.964	0.790		0.000	0.790
80	0.8	0.01	0.084581886	0.14778578	10.147		-2.817	0.800		0.000	0.800
81	0.81	0.01	0.083874	0.147193159	10.295		-2.669	0.810		0.000	0.810
82	0.82	0.01	0.08319463	0.146585447	10.441		-2.523	0.820		0.000	0.820
83	0.83	0.01	0.082542408	0.145963669	10.587		-2.377	0.830		0.000	0.830
84	0.84	0.01	0.081916044	0.145328819	10.733		-2.232	0.840		0.000	0.840
85	0.85	0.01	0.081314315	0.144681854	10.877		-2.087	0.850		0.000	0.850
86	0.86	0.01	0.08073607	0.144023694	11.021		-1.943	0.860		0.000	0.860
87	0.87	0.01	0.080180215	0.143355226	11.165		-1.800	0.870		0.000	0.870
88	0.88	0.01	0.079645718	0.142677304	11.307		-1.657	0.880		0.000	0.880
89	0.89	0.01	0.079131601	0.141990746	11.449		-1.515	0.890		0.000	0.890
90	0.9	0.01	0.078636937	0.141296336	11.591		-1.374	0.900		0.000	0.900
91	0.91	0.01	0.078160849	0.140594826	11.731		-1.233	0.910		0.000	0.910
92	0.92	0.01	0.077702505	0.139886935	11.871		-1.093	0.920		0.000	0.920
93	0.93	0.01	0.077261114	0.139173351	12.010		-0.954	0.930		0.000	0.930
94	0.94	0.01	0.076835929	0.138454731	12.149		-0.815	0.940		0.000	0.940
95	0.95	0.01	0.076426239	0.1377317	12.286		-0.678	0.950		0.000	0.950
96	0.96	0.01	0.076031368	0.137004856	12.423		-0.541	0.960		0.000	0.960
97	0.97	0.01	0.075650677	0.136274766	12.560		-0.404	0.970		0.000	0.970
98	0.98	0.01	0.075283556	0.135541972	12.695		-0.269	0.980		0.000	0.980
99	0.99	0.01	0.074929427	0.134806985	12.830		-0.134	0.990		0.000	0.990
100	1	0.01	0.074587738	0.134070295	12.964		0.000	1.000		0.000	1.000
101	1.01	0.01	0.074257967	0.133332362	13.097		0.133	1.010		0.000	1.010
102	1.02	0.01	0.073939615	0.132593625	13.230		0.266	1.020		0.000	1.020
103	1.03	0.01	0.073632209	0.131854498	13.362		0.398	1.030		0.000	1.030
104	1.04	0.01	0.073335296	0.131115372	13.493		0.529	1.040		0.000	1.040
105	1.05	0.01	0.073048448	0.130376618	13.623		0.659	1.050		0.000	1.050
106	1.06	0.01	0.072771254	0.129638584	13.753		0.789	1.060		0.000	1.060
107	1.07	0.01	0.072503324	0.1289016	13.882		0.918	1.070		0.000	1.070
108	1.08	0.01	0.072244286	0.128165974	14.010		1.046	1.080		0.000	1.080
109	1.09	0.01	0.071993785	0.127431999	14.138		1.173	1.090		0.000	1.090
110	1.1	0.01	0.071751482	0.126699948	14.264		1.300	1.100		0.000	1.100
111	1.11	0.01	0.071517056	0.125970077	14.390		1.426	1.110		0.000	1.110
112	1.12	0.01	0.071290196	0.125242626	14.515		1.551	1.120		0.000	1.120
113	1.13	0.01	0.07107061	0.124517821	14.640		1.676	1.130		0.000	1.130
114	1.14	0.01	0.070858015	0.123795872	14.764		1.800	1.140		0.000	1.140
115	1.15	0.01	0.070652144	0.123076975	14.887		1.923	1.150		0.000	1.150
116	1.16	0.01	0.07045274	0.122361311	15.009		2.045	1.160		0.000	1.160
117	1.17	0.01	0.070259557	0.121649052	15.131		2.167	1.170		0.000	1.170
118	1.18	0.01	0.070072362	0.120940355	15.252		2.288	1.180		0.000	1.180
119	1.19	0.01	0.069890929	0.120235365	15.372		2.408	1.190		0.000	1.190
120	1.2	0.01	0.069715045	0.119534218	15.492		2.527	1.200		0.000	1.200
121	1.21	0.01	0.069544504	0.118837038	15.610		2.646	1.210		0.000	1.210
122	1.22	0.01	0.069379109	0.11814394	15.729		2.764	1.220		0.000	1.220
123	1.23	0.01	0.069218674	0.117455029	15.846		2.882	1.230		0.000	1.230
124	1.24	0.01	0.069063017	0.116770401	15.963		2.999	1.240		0.000	1.240
125	1.25	0.01	0.068911966	0.116090144	16.079		3.115	1.250		0.000	1.250
126	1.26	0.01	0.068765356	0.115414337	16.194		3.230	1.260		0.000	1.260
127	1.27	0.01	0.068623029	0.114743052	16.309		3.345	1.270		0.000	1.270
128	1.28	0.01	0.068484832	0.114076354	16.423		3.459	1.280		0.000	1.280
129	1.29	0.01	0.068350621	0.113414301	16.536		3.572	1.290		0.000	1.290
130	1.3	0.01	0.068220256	0.112756945	16.649		3.685	1.300		0.000	1.300
131	1.31	0.01	0.068093603	0.112104331	16.761		3.797	1.310		0.000	1.310
132	1.32	0.01	0.067970533	0.111456498	16.873		3.909	1.320		0.000	1.320
133	1.33	0.01	0.067850923	0.110813481	16.984		4.020	1.330		0.000	1.330
134	1.34	0.01	0.067734656	0.110175308	17.094		4.130	1.340		0.000	1.340
135	1.35	0.01	0.067621616	0.109542005	17.203		4.239	1.350		0.000	1.350
136	1.36	0.01	0.067511696	0.10891359	17.312		4.348	1.360		0.000	1.360
137	1.37	0.01	0.06740479	0.108290079	17.421		4.456	1.370		0.000	1.370
138	1.38	0.01	0.067300798	0.107671484	17.528		4.564	1.380		0.000	1.380
139	1.39	0.01	0.067199623	0.107057812	17.635		4.671	1.390		0.000	1.390
140	1.4	0.01	0.067101172	0.106449067	17.742		4.778	1.400		0.000	1.400
141	1.41	0.01	0.067005356	0.10584525	17.848		4.883	1.410		0.000	1.410
142	1.42	0.01	0.066912088	0.105246358	17.953		4.989	1.420		0.000	1.420
143	1.43	0.01	0.066821286	0.104652386	18.057		5.093	1.430		0.000	1.430
144	1.44	0.01	0.06673287	0.104063327	18.162		5.197	1.440		0.000	1.440
145	1.45	0.01	0.066646764	0.103479169	18.265		5.301	1.450		0.000	1.450
146	1.46	0.01	0.066562894	0.1028999	18.368		5.404	1.460		0.000	1.460
147	1.47	0.01	0.066481189	0.102325503	18.470		5.506	1.470		0.000	1.470
148	1.48	0.01	0.066401581	0.101755963	18.572		5.608	1.480		0.000	1.480
149	1.49	0.01	0.066324004	0.101191259	18.673		5.709	1.490		0.000	1.490
150	1.5	0.01	0.066248394	0.10063137	18.774		5.810	1.500		0.000	1.500
151	1.51	0.01	0.066174691	0.100076274	18.874		5.910	1.510			
152	1.52	0.01	0.066102836	0.099525947	18.973		6.009	1.520			
153	1.53	0.01	0.066032773	0.098980362	19.072		6.108	1.530			
154	1.54	0.01	0.065964445	0.098439492	19.171		6.207	1.540			
155	1.55	0.01	0.065897802	0.09790331	19.269		6.305	1.550			
156	1.56	0.01	0.065832791	0.097371785	19.366		6.402	1.560			
157	1.57	0.01	0.065769365	0.096844888	19.463		6.499	1.570			
158	1.58	0.01	0.065707475	0.096322587	19.559		6.595	1.580			
159	1.59	0.01	0.065647076	0.095804849	19.655		6.691	1.590			
160	1.6	0.01	0.065588124	0.095291642	19.750		6.786	1.600			
161	1.61	0.01	0.065530576	0.094782932	19.845		6.881	1.610			
162	1.62	0.01	0.065474392	0.094278684	19.939		6.975	1.620			
163	1.63	0.01	0.065419532	0.093778863	20.033		7.069	1.630			
164	1.64	0.01	0.065365957	0.093283435	20.127		7.162	1.640			
165	1.65	0.01	0.065313631	0.092792362	20.219		7.255	1.650			
166	1.66	0.01	0.065262517	0.092305609	20.312		7.347	1.660			
167	1.67	0.01	0.065212582	0.091823138	20.403		7.439	1.670			
168	1.68	0.01	0.065163792	0.091344914	20.495		7.531	1.680			
169	1.69	0.01	0.065116115	0.090870897	20.586		7.622	1.690			
170	1.7	0.01	0.065069519	0.090401052	20.676		7.712	1.700			
171	1.71	0.01	0.065023974	0.08993534	20.766		7.802	1.710			
172	1.72	0.01	0.064979452	0.089473723	20.855		7.891	1.720			
173	1.73	0.01	0.064935923	0.089016164	20.944		7.980	1.730			
174	1.74	0.01	0.064893362	0.088562625	21.033		8.069	1.740			
175	1.75	0.01	0.06485174	0.088113067	21.121		8.157	1.750			
176	1.76	0.01	0.064811034	0.087667452	21.209		8.245	1.760			
177	1.77	0.01	0.064771217	0.087225743	21.296		8.332	1.770			
178	1.78	0.01	0.064732266	0.086787901	21.383		8.419	1.780			
179	1.79	0.01	0.064694159	0.086353889	21.469		8.505	1.790			
180	1.8	0.01	0.064656871	0.085923668	21.555		8.591	1.800			
181	1.81	0.01	0.064620383	0.085497202	21.641		8.676	1.810			
182	1.82	0.01	0.064584672	0.085074451	21.726		8.762	1.820			
183	1.83	0.01	0.064549718	0.08465538	21.810		8.846	1.830			
184	1.84	0.01	0.064515501	0.08423995	21.895		8.930	1.840			
185	1.85	0.01	0.064482003	0.083828125	21.978		9.014	1.850			
186	1.86	0.01	0.064449205	0.083419867	22.062		9.098	1.860			
187	1.87	0.01	0.064417088	0.08301514	22.145		9.181	1.870			
188	1.88	0.01	0.064385635	0.082613908	22.227		9.263	1.880			
189	1.89	0.01	0.06435483	0.082216134	22.310		9.346	1.890			
190	1.9	0.01	0.064324655	0.081821782	22.391		9.427	1.900			
191	1.91	0.01	0.064295095	0.081430816	22.473		9.509	1.910			
192	1.92	0.01	0.064266135	0.081043201	22.554		9.590	1.920			
193	1.93	0.01	0.064237759	0.080658902	22.635		9.670	1.930			
194	1.94	0.01	0.064209954	0.080277884	22.715		9.751	1.940			
