z	zmin	zmax	tlook	tlookmin	tlookmax	dl		z	tlook	a	delta-tlook		a1	a2	t1	t2	t-interp	Chi^2
0.03	0.027	0.033	0.3993	0.3601	0.4383	0.0435		0.03	-0.3993	0.970873786	0.0391		0.97	0.98	-0.404419252	-0.26887728	-0.392575779	0.029575392
0.04	0.033	0.0405	0.4965	0.4383	0.5351	0.0543		0.04	-0.4965	0.961538462	0.0484		0.96	0.97	-0.540694018	-0.404419252	-0.519728669	0.230333944
0.05	0.0405	0.051	0.6118	0.5351	0.669	0.0671		0.05	-0.6118	0.952380952	0.06695		0.95	0.96	-0.677698874	-0.540694018	-0.64507867	0.247076116
0.014	0.0105	0.015	0.1817	0.1416	0.2017	0.0193		0.014	-0.1817	0.986193294	0.03005		0.98	0.99	-0.26887728	-0.134070295	-0.185387352	0.015057065
0.033	0.0225	0.0285	0.3404	0.301	0.3797	0.0367		0.033	-0.3404	0.968054211	0.03935		0.96	0.97	-0.540694018	-0.404419252	-0.430935445	5.293559656
0.056	0.051	0.0615	0.7446	0.669	0.8009	0.0833		0.056	-0.7446	0.946969697	0.06595		0.94	0.95	-0.815430574	-0.677698874	-0.719435753	0.145592259
0.014	0.0105	0.015	0.1817	0.1416	0.2017	0.0192		0.014	-0.1817	0.986193294	0.03005		0.98	0.99	-0.26887728	-0.134070295	-0.185387352	0.015057065
0.017	0.015	0.0195	0.2217	0.2017	0.2614	0.0251		0.017	-0.2217	0.983284169	0.02985		0.98	0.99	-0.26887728	-0.134070295	-0.224604386	0.009467168
0.018	0.0165	0.021	0.2614	0.2217	0.2812	0.0282		0.018	-0.2614	0.982318271	0.02975		0.98	0.99	-0.26887728	-0.134070295	-0.237625366	0.638636502
0.026	0.024	0.03	0.3601	0.3207	0.3993	0.0384		0.026	-0.3601	0.974658869	0.0393		0.97	0.98	-0.404419252	-0.26887728	-0.341272017	0.229521025
0.036	0.03	0.0375	0.4577	0.3993	0.4965	0.0493		0.036	-0.4577	0.965250965	0.0486		0.96	0.97	-0.540694018	-0.404419252	-0.469136612	0.055376082
0.043	0.036	0.0435	0.5158	0.4771	0.5735	0.0579		0.043	-0.5158	0.958772771	0.0482		0.95	0.96	-0.677698874	-0.540694018	-0.557507653	0.748751031
0.045	0.045	0.054	0.65	0.5927	0.7069	0.0719		0.045	-0.65	0.956937799	0.0571		0.95	0.96	-0.677698874	-0.540694018	-0.582647658	1.391339724
0.046	0.033	0.0405	0.4771	0.4383	0.5351	0.0536		0.046	-0.4771	0.956022945	0.0484		0.95	0.96	-0.677698874	-0.540694018	-0.595181609	5.952149092
0.058	0.048	0.057	0.6879	0.6309	0.7446	0.0767		0.058	-0.6879	0.945179584	0.05685		0.94	0.95	-0.815430574	-0.677698874	-0.744091281	0.976960344
0.061	0.051	0.063	0.7446	0.669	0.8196	0.0833		0.061	-0.7446	0.942507069	0.0753		0.94	0.95	-0.815430574	-0.677698874	-0.780900289	0.232396842
0.063	0.06	0.072	0.8569	0.7822	0.931	0.0984		0.063	-0.8569	0.940733772	0.0744		0.94	0.95	-0.815430574	-0.677698874	-0.805324203	0.480558236
0.075	0.063	0.0765	0.894	0.8196	0.9862	0.103		0.075	-0.894	0.930232558	0.0833		0.93	0.94	-0.953885305	-0.815430574	-0.950665428	0.462749906
0.079	0.069	0.081	0.9678	0.894	1.041	0.1114		0.079	-0.9678	0.926784059	0.0735		0.92	0.93	-1.093058656	-0.953885305	-0.998642629	0.176087332
0.088	0.069	0.09	1.0227	0.894	1.1496	0.1183		0.088	-1.0227	0.919117647	0.1278		0.91	0.92	-1.232945592	-1.093058656	-1.105401621	0.418761108
0.101	0.0945	0.1141	1.3278	1.2035	1.433	0.1581		0.101	-1.3278	0.908265213	0.11475		0.9	0.91	-1.373540417	-1.232945592	-1.257335793	0.377078481
0.018	0.012	0.0165	0.1817	0.1617	0.2217	0.0207		0.018	-0.1817	0.982318271	0.03		0.98	0.99	-0.26887728	-0.134070295	-0.237625366	3.475162853
0.025	0.018	0.0225	0.2812	0.2416	0.301	0.03		0.025	-0.2812	0.975609756	0.0297		0.97	0.98	-0.404419252	-0.26887728	-0.328383512	2.523873716
0.028	0.0225	0.0285	0.3404	0.301	0.3797	0.0367		0.028	-0.3404	0.972762646	0.03935		0.97	0.98	-0.404419252	-0.26887728	-0.366973804	0.45605581
0.05	0.0465	0.0555	0.669	0.6118	0.7258	0.0746		0.05	-0.669	0.952380952	0.057		0.95	0.96	-0.677698874	-0.540694018	-0.64507867	0.176124967
0.052	0.048	0.057	0.6879	0.6309	0.7446	0.0778		0.052	-0.6879	0.950570342	0.05685		0.95	0.96	-0.677698874	-0.540694018	-0.669884909	0.100418098
0.071	0.063	0.0765	0.9125	0.8196	0.9862	0.1035		0.071	-0.9125	0.933706816	0.0833		0.93	0.94	-0.953885305	-0.815430574	-0.902562683	0.014231421
0.016	0.0135	0.018	0.2017	0.1817	0.2416	0.0228		0.016	-0.2017	0.984251969	0.02995		0.98	0.99	-0.26887728	-0.134070295	-0.211557775	0.108333833
0.024	0.018	0.0225	0.2812	0.2416	0.301	0.03		0.024	-0.2812	0.9765625	0.0297		0.97	0.98	-0.404419252	-0.26887728	-0.315469833	1.331407732
0.029	0.024	0.03	0.3601	0.3207	0.3993	0.0397		0.029	-0.3601	0.971817298	0.0393		0.97	0.98	-0.404419252	-0.26887728	-0.379787232	0.250948268
0.036	0.0285	0.0345	0.4188	0.3797	0.4577	0.0458		0.036	-0.4188	0.965250965	0.039		0.96	0.97	-0.540694018	-0.404419252	-0.469136612	1.665860941
0.478	0.4397	0.5328	4.8629	4.5079	5.1772	0.9013		0.478	-4.8629	0.676589986	0.33465		0.67	0.68	-4.777032194	-4.623732039	-4.676007599	0.311890126
0.049	0.036	0.0435	0.5351	0.4771	0.5735	0.0587		0.049	-0.5351	0.953288847	0.0482		0.95	0.96	-0.677698874	-0.540694018	-0.63264008	4.095171888
0.4	0.3782	0.4442	4.2869	4.021	4.5421	0.736		0.4	-4.2869	0.714285714	0.26055		0.71	0.72	-4.165865749	-4.0140169	-4.100787671	0.510232518
0.615	0.5073	0.6123	5.3676	5.0012	5.6924	1.0688		0.615	-5.3676	0.619195046	0.3456		0.61	0.62	-5.701682548	-5.547175172	-5.559612298	0.308681516
0.48	0.4277	0.5058	4.7102	4.4158	4.9907	0.8568		0.48	-4.7102	0.675675676	0.28745		0.67	0.68	-4.777032194	-4.623732039	-4.690023998	0.004926581
0.45	0.3872	0.4622	4.4042	4.0946	4.6769	0.7671		0.45	-4.4042	0.689655172	0.29115		0.68	0.69	-4.623732039	-4.470751186	-4.476026388	0.060860352
0.388	0.3827	0.4487	4.3223	4.0579	4.5761	0.7462		0.388	-4.3223	0.720461095	0.2591		0.72	0.73	-4.0140169	-3.862598865	-4.007035088	1.480527397
0.425	0.2956	0.4187	3.8586	3.3055	4.3458	0.6264		0.425	-3.8586	0.701754386	0.52015		0.7	0.71	-4.318119572	-4.165865749	-4.291408375	0.692363407
0.62	0.5463	0.6873	5.7294	5.2682	6.1359	1.2047		0.62	-5.7294	0.617283951	0.43385		0.61	0.62	-5.701682548	-5.547175172	-5.589140138	0.104517162
0.57	0.4922	0.6063	5.2982	4.8951	5.6552	1.0444		0.57	-5.2982	0.636942675	0.38005		0.63	0.64	-5.392777412	-5.238527846	-5.285686949	0.001084039
0.3	0.2431	0.3032	3.1109	2.809	3.3737	0.458		0.3	-3.1109	0.769230769	0.28235		0.76	0.77	-3.411168455	-3.261706159	-3.273203259	0.330429562
0.38	0.3692	0.4457	4.2632	3.9465	4.5534	0.7293		0.38	-4.2632	0.724637681	0.30345		0.72	0.73	-4.0140169	-3.862598865	-3.943794043	1.107928514
0.43	0.3932	0.5238	4.6546	4.1432	5.1157	0.8412		0.43	-4.6546	0.699300699	0.48625		0.69	0.7	-4.470751186	-4.318119572	-4.328793112	0.448953432
